Date,Open,High,Low,True Range,1D,,,,,,,
13/10/2021,56038.25781,57688.66016,54370.97266,3317.6875,5.62%,,,,,,,
12/10/2021,57526.83203,57627.87891,54477.97266,3149.90625,5.87%,,,,,,,
11/10/2021,54734.125,57793.03906,54519.76563,3273.27343,4.92%,,,,,,,
10/10/2021,54952.82031,56401.30469,54264.25781,2137.04688,3.52%,,,,,,,
09/10/2021,53929.78125,55397.94531,53735.14453,1662.80078,3.62%,,,,,,,
08/10/2021,53802.14453,55922.98047,53688.05469,2234.92578,3.66%,,,,,,,
07/10/2021,55338.625,55338.625,53525.46875,1813.15625,6.69%,,,,,,,
06/10/2021,51486.66406,55568.46484,50488.19141,5080.27343,7.98%,,,,,,,
05/10/2021,49174.96094,51839.98438,49072.83984,2767.14454,5.37%,,,,,,,
04/10/2021,48208.90625,49456.77734,47045.00391,2411.77343,4.60%,,,,,,,
03/10/2021,47680.02734,49130.69141,47157.28906,1973.40235,2.90%,,,,,,,
02/10/2021,48137.46875,48282.0625,47465.49609,816.56641,6.77%,,,,,,,
01/10/2021,43816.74219,48436.01172,43320.02344,5115.98828,9.34%,,,,,,,
30/09/2021,41551.26953,44092.60156,41444.58203,2648.01953,5.31%,,,,,,,
29/09/2021,41064.98438,42545.25781,40829.66797,1715.58984,4.22%,,,,,,,
28/09/2021,42200.89844,42775.14453,40931.66406,1843.48047,4.59%,,,,,,,
27/09/2021,43234.18359,44313.24609,42190.63281,2122.61328,6.08%,,,,,,,
26/09/2021,42721.62891,43919.30078,40848.46094,3070.83984,5.03%,,,,,,,
25/09/2021,42840.89063,42996.25781,41759.92188,1236.33593,5.99%,,,,,,,
24/09/2021,44894.30078,45080.49219,40936.55859,4143.9336,6.86%,,,,,,,
23/09/2021,43560.29688,44942.17578,43109.33984,1832.83594,6.37%,,,,,,,
22/09/2021,40677.95313,43978.62109,40625.63281,3352.98828,8.34%,,,,,,,
21/09/2021,43012.23438,43607.60938,39787.60938,3820,9.04%,,,,,,,
20/09/2021,47261.40625,47328.19922,42598.91406,4729.28516,6.36%,,,,,,,
19/09/2021,48268.85547,48328.36719,46919.80469,1408.5625,3.29%,,,,,,,
18/09/2021,47273.52734,48791.78125,47087.28516,1704.49609,3.17%,,,,,,,
17/09/2021,47771.00391,48160.92188,46832.52344,1328.39844,2.84%,,,,,,,
16/09/2021,48158.90625,48486.82813,47079.55859,1407.26954,3.27%,,,,,,,
15/09/2021,47098,48450.46875,46773.32813,1677.14062,4.61%,,,,,,,
14/09/2021,44960.05078,47218.125,44752.33203,2465.79297,5.94%,,,,,,,
13/09/2021,46057.21484,46598.67969,43591.32031,3007.35938,5.07%,,,,,,,
12/09/2021,45206.62891,46364.87891,44790.46094,1574.41797,3.04%,,,,,,,
11/09/2021,44869.83984,45969.29297,44818.26563,1151.02734,4.14%,,,,,,,
10/09/2021,46396.66406,47031.74219,44344.48438,2687.25781,4.67%,,,,,,,
09/09/2021,45774.74219,47261.94922,45669.73828,1592.21094,4.66%,,,,,,,
08/09/2021,46827.76172,47334.05469,44561.39453,2772.66016,11.72%,,,,,,,
07/09/2021,52660.48047,52853.76563,43285.20703,9568.5586,10.83%,,,,,,,
06/09/2021,51769.00391,52700.94141,51053.67969,1647.26172,3.98%,,,,,,,
05/09/2021,49937.85938,51868.67969,49538.59766,2330.08203,3.33%,,,,,,,
04/09/2021,50009.32422,50545.58203,49548.78125,996.80078,3.64%,,,,,,,
03/09/2021,49288.25,50982.27344,48386.08594,2596.1875,4.39%,,,,,,,
02/09/2021,48807.84766,50343.42188,48652.32031,1691.10157,4.50%,,,,,,,
01/09/2021,47099.77344,49111.08984,46562.4375,2548.65234,4.24%,,,,,,,
31/08/2021,47024.33984,48189.55078,46750.09375,1439.45703,3.50%,,,,,,,
30/08/2021,48834.85156,48925.60547,46950.27344,1975.33203,3.78%,,,,,,,
29/08/2021,48911.25,49644.11328,47925.85547,1718.25781,2.55%,,,,,,,
28/08/2021,49072.58594,49283.50391,48499.23828,784.26563,3.73%,,,,,,,
27/08/2021,46894.55469,49112.78516,46394.28125,2718.50391,5.78%,,,,,,,
26/08/2021,49002.64063,49347.58203,46405.78125,2941.80078,5.22%,,,,,,,
25/08/2021,47727.25781,49202.87891,47163.61328,2039.26563,4.27%,,,,,,,
24/08/2021,49562.34766,49878.76953,47687.11719,2191.65234,3.65%,,,,,,,
23/08/2021,49291.67578,50482.07813,49074.60547,1407.47266,2.74%,,,,,,,
22/08/2021,48869.10547,49471.60938,48199.94141,1271.66797,2.71%,,,,,,,
